card_no,bird_name,bird_name_ko,tts_text,voice_tag,review_status,source_file_name,source_vo_id,source_transcript,source_score
92,Coopers Hawk,쿠퍼매,쿠퍼매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,92_Coopers_Hawk_VO_3.wav,3,Coopers Hawk. Coopers Hawks hunt forest birds and mammals with great stealth.,75
93,Red Shouldered Hawk,붉은시아우르드어에드매,붉은시아우르드어에드매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,93_Red_Shouldered_Hawk_VO_1.wav,1,"Red Shouldered Hawk. These hawks hunt from a perch, swooping down when prey is nearby.",75
94,Barred Owl,줄무늬올빼미,줄무늬올빼미입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,94_Barred_Owl_VO_2.wav,2,"Barred Owl. The Barred Owl's haunting call sounds like, who cooks for you?",75
95,Swainsons Hawk,스웨인슨매,스웨인슨매입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,95_Swainsons_Hawk_VO_3.wav,3,"Swainsons Hawk. These hawks feed chicks, small mammals and birds, but adults eat mostly insects.",75
96,Peregrine Falcon,송골매,송골매입니다. 먹이를 노릴 때는 물이나 공기 속으로 과감히 뛰어듭니다. 망설임보다 속도가 먼저입니다.,Jean,draft,96_Peregrine_Falcon_VO_1.wav,1,Peregrine Falcon. Diving to attack. A Peregrine Falcon can reach speeds up to 200 miles per hour.,75
97,Golden Eagle,검독수리,검독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,97_Golden_Eagle_VO_23.wav,23,"Golden Eagle. Golden Eagles mostly eat rabbit-sized prey, but can go after livestock and birds.",75
98,Great Horned Owl,아메리카수리부엉이,"아메리카수리부엉이입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,98_Great_Horned_Owl_VO_1.wav,1,"Great Horned Owl. These strong owls can kill large prey including skunks, cats and dogs.",75
99,Common Merganser,일반비오리,일반비오리입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,99_Common_Merganser_VO_1.wav,1,Common Merganser. Adult males can eat fish more than a foot long.,75
100,Willet,윌렛,윌렛입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,100_Willet_VO_1.wav,1,Willet's feed during the day and the night.,55
101,Anhinga,아닝가새,아닝가새입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,101_Anhinga_VO_13.wav,13,"On Anhinga, this bird is called Snakebird. It swims with only head and neck above water.",75
102,Snowy Egret,눈백로,눈백로입니다. 몸집과 무게만으로도 존재감이 큽니다. 카드 위 작은 그림보다 훨씬 묵직한 새입니다.,Jean,draft,102_Snowy_Egret_VO_3.wav,3,"Snowy Egret. In the 1880s, these birds' wispy plumes were literally worth their weight in gold.",75
103,White Faced Ibis,흰프아크에드따오기,흰프아크에드따오기입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,103_White_Faced_Ibis_VO_1.wav,1,White Faced Ibis. White Faced Ibises nest in colonies with herons and egrets.,75
104,Black Skimmer,검은가위부리,검은가위부리입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,104_Black_Skimmer_VO_1.wav,1,Black Skimmer. Skimmers plow the water with their beaks snapping shut when they hit a fish.,75
105,Eastern Screech Owl,동부스크이치올빼미,"동부스크이치올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,105_Eastern_Screech_Owl_VO_1.wav,1,"Eastern Screech Owl. These owls live near humans, but because they're small and nocturnal, they're rarely seen.",75
106,Mississippi Kite,미시시피솔개,미시시피솔개입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,106_mississippi_kite_VO_2.wav,2,"Mississippi kite. These birds mostly eat large insects, but they'll also eat rodents, bats, and birds.",75
107,Ferruginous Hawk,프어르우그이느아우스매,프어르우그이느아우스매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,107_Ferruginous_Hawk_VO_1.wav,1,Ferruginous Hawk. These rust-colored birds sometimes hunt in groups in prairie dog towns.,75
108,American Kestrel,아메리카황조롱이,아메리카황조롱이입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,108_American_Kestrel_VO_3.wav,3,American Kestrel. Kestrels track rodents by their urine and will cash surplus kills for later.,75
109,Barn Owl,가면올빼미,"가면올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,109_Barn_Owl_VO_1.wav,1,Barn Owls use their excellent hearing to catch prey in the dark and will cash surplus for later.,75
110,Burrowing Owl,굴파는올빼미,굴파는올빼미입니다. 둥지를 낮은 곳에 숨겨 새끼를 키웁니다. 땅 가까운 곳에 작은 비밀방을 마련하는 셈입니다.,Jean,draft,110_Burrowing_Owl_VO_13.wav,13,Burrowing Owl. These owls often use old prairie dog burrows for their underground nests.,75
111,Sandhill Crane,캐나다두루미,캐나다두루미입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,111_Sandhill_Crane_VO_1.wav,1,Sandhill Crane. Sandhill Cranes can live for decades and mate for life.,75
112,Canada Goose,캐나다기러기,캐나다기러기입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,112_Canada_Goose_VO_1.wav,1,Canada Goose. The oldest known wild Canada goose was at least 33 years old.,75
113,Black Bellied Whistling Duck,검은배휘파람오리,검은배휘파람오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,113_Black_Bellied_Whistling_Duck_VO_1.wav,1,Black Bellied Whistling Duck. These ducks really do whistle.,75
114,Double Crested Cormorant,두겹볏가마우지,두겹볏가마우지입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,114_Double_Crested_Cormorant_VO_3.wav,3,Double Crested Cormorant. Cormorant colonies can be so dense that their guano kills the trees.,75
115,American White Pelican,아메리카흰펠리컨,아메리카흰펠리컨입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,115_American_White_Pelican_VO_1.wav,1,"American White Pelican, pelicans work together to herd fish and then scoop them up.",75
116,Red Winged Blackbird,붉은날개검은새,붉은날개검은새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,116_Red_Winged_Blackbird_VO_1.wav,1,Red-winged blackbird. Blackbird flocks can include hundreds of thousands of birds.,60
117,Common Grackle,일반검정새,일반검정새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,117_Common_Grackle_VO_3.wav,3,"Common Grackle. In winter, grackles roost in large flocks that can include millions of individuals.",75
118,Brewers Blackbird,브루어검은새,브루어검은새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,118_Brewers_Blackbird_VO_1.wav,1,Brewers Blackbird. Brewer was a prominent 19th century ornithologist and eulogist.,75
119,Yellow Headed Blackbird,노란머리검은새,노란머리검은새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,119_Yellow_Headed_Blackbird_VO_3.wav,3,"Yellow Headed Blackbird. These blackbirds form huge flocks, especially in winter.",75
120,Bushtit,부시팃새,부시팃새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,120_Bushtit_VO_3.wav,3,"Bushtits live in flocks, and single adults will help couples raise their young.",75
121,Dickcissel,딕시슬새,딕시슬새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,121_Dickcissel_VO_1.wav,1,"Dickcissel. This bird used to live in the eastern U.S., but its range has shrunk due to habitat loss.",75
122,Ring Billed Gull,고리부리갈매기,고리부리갈매기입니다. 알을 둘러싼 전략이 꽤 대담합니다. 조용한 둥지 안에서도 치열한 이야기가 벌어집니다.,Jean,draft,122_Ring_Billed_Gull__VO_1.wav,1,Ring Billed Gull. These gulls steal food and eggs from other birds and scavenge at garbage dumps.,75
123,American Coot,아메리카물닭,아메리카물닭입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,123_American_Coot__VO_3.wav,3,"American Coot, these omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",75
124,Yellow Rumped Warbler,노란르우므프에드워블러,노란르우므프에드워블러입니다. 울음소리에는 이 새만의 서명이 담겨 있습니다. 숲이나 들판에서 먼저 들리는 작은 소개장입니다.,Jean,draft,124_Yellow_Rumped_Warbler_VO_13.wav,13,Yellow Rumped Warbler. Birders sometimes call these birds butter butts.,75
125,American Robin,아메리카로빈,아메리카로빈입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,125_American_Robin_VO_1.wav,1,"American Robin. Robins have been known to roost in groups of 100,000 or more.",75
126,House Finch,집되새,집되새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,126_House_Finch_VO_13.wav,13,House Finch. These finches are rarely alone and can flock in the hundreds.,75
127,Barn Swallow,브아르느제비,브아르느제비입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,127_Barn_Swallow_VO_13.wav,13,"Barn Swallow. Barn swallows once nested in caves, but now favor human-made structures.",75
128,Tree Swallow,트르이제비,트르이제비입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,128_Tree_Swallow_VO_1.wav,1,Tree Swallow. Tree Swallows can form flocks numbering in the hundreds of thousands.,75
129,Purple Martin,보라제비,보라제비입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,129_Purple_Martin_VO_3.wav,3,Purple Martin. Native Americans hung gourds as houses for these birds because they eat so many bugs.,75
130,Violet Green Swallow,보라초록제비,보라초록제비입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,130_Violet_Green_Swallow_VO_3.wav,3,"Violet Green Swallow. Like other swallows, these birds forage in large groups and open areas.",75
131,Cedar Waxwing,크에드아르여새,크에드아르여새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,131_Cedar_Waxwing_VO_3.wav,3,Cedar Waxwing. Cedar Waxwings are one of the only birds in North America that eat exclusively fruit.,75
132,Pygmy Nuthatch,꼬마동고비,꼬마동고비입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,132_Pygmy_Nuthatch_VO_3.wav,3,Pygmy Nuthatch. These flocking birds often have helper birds bringing food during nesting season.,75
133,Pine Siskin,소나무스이스크이느새,소나무스이스크이느새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,133_Pine_Siskin_VO_1.wav,1,"Pine Siskin. Pine Siskins are gregarious, traveling in flocks to look for food.",75
134,Dark Eyed Junco,검은에이에드정코새,검은에이에드정코새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,134_Dark_Eyed_Junco_VO_1.wav,1,"Dark Eyed Junco. Junco's summer in the cool woods, but we'll use more open habitats in the winter.",75
135,American Oystercatcher,아메리카검은머리물떼새,아메리카검은머리물떼새입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,135_American_Oystercatcher_VO_2.wav,2,"American Oystercatcher. These birds feed not just on oysters and shellfish, but also other invertebrates.",75
136,Carolina Wren,캐롤라이나굴뚝새,캐롤라이나굴뚝새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,136_Carolina_Wren_VO_2.wav,2,"Carolina Wren. A single male Carolina Wren can sing nearly 3,000 times in a single day.",75
137,Black Necked Stilt,검은느에크에드장다리물떼새,검은느에크에드장다리물떼새입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,137_Black_Necked_Stilt_VO_3.wav,3,"Black Necked Stilt. When not breeding, stilts form closely packed groups and will mob predators.",75
138,Inca Dove,잉카비둘기,잉카비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,138_Inca_Dove_VO_1.wav,1,Inca Dove. This bird likes human settlements and is expanding its range north.,75
139,Says Phoebe,스에이스피비새,스에이스피비새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,139_Says_Phoebe_VO_3.wav,3,"Says Phoebe. Thomas Say also has snails, crabs, and a snake named after him.",75
140,Ash Throated Flycatcher,아시목딱새,아시목딱새입니다. 나뭇가지에서 기다리다가 날아오르는 곤충을 재빠르게 낚아챕니다.,Jean,draft,140_ash_throated_flycatcher_VO_3.wav,3,Ash throated flycatcher. These birds are adapted to dry places. They get all their water from their food.,75
141,Bobolink,보보링크새,보보링크새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,141_Bobolink_VO_2.wav,2,Bobolink Emily Dickinson wrote poems about these birds as rowdy choristers in her Church of Nature.,75
142,Brown Pelican,갈색펠리컨,갈색펠리컨입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,142_Brown_Pelican_VO_3.wav,3,"Brown Pelican. Seriously endangered in the 1970s, Brown Pelicans are thriving after the U.S. and Canada banned DDT.",75
143,American Goldfinch,아메리카그오르드프이느치새,아메리카그오르드프이느치새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,143_American_Goldfinch_VO_1.wav,1,American Goldfinch. Goldfinches breed late after the milkweed and thistle have gone to seed.,75
144,Northern Flicker,북부딱따구리,북부딱따구리입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,144_Northern_Flicker_VO_2.wav,2,Northern Flicker. These woodpeckers seek out ground-dwelling insects rather than pecking wood.,75
145,Bald Eagle,흰머리수리,흰머리수리입니다. 물가에서 물고기를 노리는 솜씨가 좋습니다. 잔잔한 수면 아래를 놓치지 않는 사냥꾼입니다.,Jean,draft,145_Bald_Eagle_VO_1.wav,1,Bald Eagle. Bald eagles steal fish. Ben Franklin thought this was a bad choice for the U.S. national bird.,75
146,Wood Stork,숲황새,숲황새입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,146_Wood_Stork_VO_1.wav,1,Wood Stork. The Wood Stork was removed from the U.S. Endangered Species List in 2014.,75
147,Roseate Spoonbill,르오스이트에저어새,르오스이트에저어새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,147_Roseate_spoonbill_VO_1.wav,1,This bird's unusually shaped bill helps it feel prey in the water.,60
148,Cerulean Warbler,하늘빛워블러,하늘빛워블러입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,148_Cerulean_Warbler_VO_3.wav,3,"Cerulean Warbler. Between 1966 and 2015, this species lost 74% of its population.",75
149,Chestnut Collared Longspur,밤색크오르르아르에드긴발톱멧새,밤색크오르르아르에드긴발톱멧새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,149_chestnut_collared_longspur_VO_3.wav,3,Chestnut collared longspur. This bird's population dropped by 82% between 1966 and 2015.,75
150,King Rail,크이느그뜸부기,크이느그뜸부기입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,150_King_Rail_VO_3.wav,3,King Rail. King Rails declined 91% from 1966 to 2014 due to habitat loss and pesticide runoff.,75
151,Red Cockaded Woodpecker,붉은크오크아드에드딱따구리,붉은크오크아드에드딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,151_Red_Cockaded_Woodpecker_VO_1.wav,1,"Red Cockaded Woodpecker. This bird is in danger due to habitat loss. There may be fewer than 10,000.",75
152,Whooping Crane,아메리카흰두루미,아메리카흰두루미입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,152_Whooping_Crane_VO_1.wav,1,"Whooping Crane. From its low of 20 birds, the Whooping Crane population has risen to about 600.",75
153,Spotted Owl,점박이올빼미,"점박이올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,153_Spotted_Owl_VO_1.wav,1,Spotted Owl. Habitat for these birds was a topic in logging fights in the Pacific Northwest region of the U.S.,75
154,Cassins Finch,캐신되새,캐신되새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,154_Cassins_Finch_VO_1.wav,1,"Cassins Finch. 15 birds are named after ornithologist John Cassin, including two in this game.",75
155,Bells Vireo,벨비레오,벨비레오입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,155_Bells_Vireo_VO_1.wav,1,Bells Vireo. John Graham Bell taught taxidermy to future U.S. President Theodore Roosevelt.,75
156,Painted Bunting,채색멧새,채색멧새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,156_Painted_Bunting_VO_2.wav,2,"Poachers sell these birds as pets, making it harder for wild populations to thrive.",60
157,Greater Prairie Chicken,큰프르에이르이치이크에느새,큰프르에이르이치이크에느새입니다. 주로 땅 위에서 생활하며 풀숲과 덤불 사이를 빠르게 오갑니다.,Jean,draft,157_greater_prairie_chicken_VO_1.wav,1,"Greater prairie chicken. One subspecies of this bird went extinct in 1932, and a Texas form is endangered.",75
158,Atlantic Puffin,대서양퍼핀,대서양퍼핀입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,158_Atlantic_Puffin_VO_1.wav,1,Atlantic Puffin. Puffin's breeding areas are threatened by climate change.,75
159,Spragues Pipit,스프르아그우에스밭종다리,스프르아그우에스밭종다리입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,159_Spragues_Pipit_VO_1.wav,1,Spragues Pipit. This rare bird's mating display can last for over an hour.,75
160,California Condor,캘리포니아콘도르,캘리포니아콘도르입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,160_California_Condor_VO_1.wav,1,"California Condor. There were just 22 of these scavengers alive in the 1980s, but there are now over 200.",75
161,Downy Woodpecker,솜털딱따구리,솜털딱따구리입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,161_Downy_Woodpecker_VO_1.wav,1,Downy Woodpecker. This little woodpecker frequently joins mixed flocks.,75
162,Tufted Titmouse,볏박새,볏박새입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,162_Tufted_Titmouse_VO_1.wav,1,Tufted Titmouse. Titmice are key in the formation of mixed species flocks.,75
163,Ruby Crowned Kinglet,루비관크이느그르에트새,루비관크이느그르에트새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,163_Ruby_Crowned_Kinglet_VO_1.wav,1,Ruby Crowned Kinglet. Kinglet's ruby red crown feathers pop up when they are agitated.,75
164,Red Eyed Vireo,붉은에이에드비레오,붉은에이에드비레오입니다. 무리를 이루면 풍경이 달라집니다. 한 마리가 아니라 하늘을 움직이는 작은 행렬이 됩니다.,Jean,draft,164_Red_Eyed_Vireo_VO_1.wav,1,Red Eyed Vireo. Near sighted vireos flock with other birds that make noise if predators are around.,75
165,House Wren,집굴뚝새,집굴뚝새입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,165_House_Wren_VO_1.wav,1,House Wren. House Wrens will remove the eggs of other birds and take over their nests.,75
166,Savannah Sparrow,사바나참새,사바나참새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,166_Savannah_Sparrow_VO_1.wav,1,Savannah Sparrow. This sparrow is named after both Savannah Georgia and Sandwich Sound Alaska.,75
167,Eastern Bluebird,동부파랑새,동부파랑새입니다. 나무 구멍과 틈을 살려 둥지를 마련합니다. 숲의 빈방을 알뜰하게 고르는 건축가입니다.,Jean,draft,167_Eastern_Bluebird_VO_1.wav,1,Eastern Bluebird. Bluebirds struggle to breed where there is a lack of tree cavities. Nestboxes help.,75
168,Mountain Bluebird,산파랑새,산파랑새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,168_mountain_bluebird_VO_2.wav,2,Mountain bluebird. These birds can be found from prairies up to alpine zones above tree line.,75
169,Great Blue Heron,큰푸른왜가리,큰푸른왜가리입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,169_Great_Blue_Heron_VO_12.wav,12,"Great Blue Heron. Great Blue Herons form rookeries with egrets, cormorants, and other herons.",75
170,Great Egret,대백로,대백로입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,170_Great_Egret_VO_1.wav,1,Great Egret. Smaller birds will sometimes follow after Great Egrets as they stir up prey.,75
171,Broad Winged Hawk,넓은날개매,넓은날개매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,171_Broad_Winged_Hawk_VO_1.wav,1,Broad-winged hawk. This hawk is seen more during migration than while it's in the forest interior.,60
172,American Redstart,아메리카딱새,아메리카딱새입니다. 이름 속에 생김새나 오래된 이야기가 숨어 있습니다. 카드를 볼 때 이름부터 한 번 더 들여다볼 만합니다.,Jean,draft,172_American_Redstart_VO_1.wav,1,"American Redstart. Redstarts get their name from the Old English word stort, meaning tail.",75
173,Canvasback,캔버스백새,캔버스백새입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,173_Canvasback_VO_1.wav,1,Canvasback. The fastest recorded Canvasback was flying 116 kilometers per hour.,75
174,Vauxs Swift,브오크스스칼새,브오크스스칼새입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,174_Vauxs_Swift_VO_1.wav,1,Vaux Swift. William Sansom Vaux was a wealthy mineralogist and naturalist.,60
175,Brant,브란트새,브란트새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,175_Brant_VO_1.wav,1,"Brant. Brants can migrate the 5,300 kilometers from Alaska to Mexico in 54 hours.",75
176,White Throated Swift,흰목칼새,흰목칼새입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,176_White_Throated_Swift_VO_1.wav,1,White Throated Swift. The White Throated Swift is one of the fastest birds in North America.,75
177,Scaled Quail,스크아르에드메추라기,스크아르에드메추라기입니다. 주로 땅 위에서 생활하며 풀숲과 덤불 사이를 빠르게 오갑니다.,Jean,draft,177_Scaled_Quail_VO_1.wav,1,Scaled Quail. Quail chicks can get up and follow their parents as soon as they hatch.,75
178,Black Chinned Hummingbird,검은치이느느에드벌새,검은치이느느에드벌새입니다. 구애 행동은 작은 무대 공연 같습니다. 날개와 깃털로 마음을 전하는 방식이 인상적입니다.,Jean,draft,178_Black_Chinned_Hummingbird_VO_1.wav,1,"Black Chinned Hummingbird. To display, males of this species will fly up to 30 meters then dive reaching speeds near 100 kilometers per hour.",75
179,Red Breasted Merganser,붉은가슴비오리,붉은가슴비오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,179_Red_Breasted_Merganser_VO_1.wav,1,"Red Breasted Merganser. A Red Breasted Merganser was recorded flying 160 kilometers an hour, the fastest of any duck.",75
180,Painted Whitestart,채색우이트에스트아르트새,채색우이트에스트아르트새입니다. 작은 곤충을 놓치지 않는 눈썰미가 있습니다. 숲속의 미세한 움직임도 먹잇감이 됩니다.,Jean,draft,180_Painted_Whitestart_VO_1.wav,1,"Painted Whitestart. When they forage, white starts will flick their wings or tails to flush insects.",75
181,Eurasian Magpie,유라시아까치,유라시아까치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,181_Eurasian_Magpie_VO_1.wav,1,"Eurasian Magpie. These birds are considered to have very high intelligence, similar to great apes.",75
182,Carrion Crow,크아르르이오느까마귀,크아르르이오느까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,182_Carrion_Crow_VO_1.wav,1,"Carrion Crow. In their range, Carrion Crows are the primary scavengers of small animal carcasses.",75
183,Griffon Vulture,그르이프프오느독수리,그르이프프오느독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,183_Griffon_Vulture_VO_1.wav,1,Griffon Vulture. These birds bald heads help them thermoregulate.,75
184,Coal Tit,크오아르트이트새,"크오아르트이트새입니다. 먹이를 숨겨 두는 솜씨가 뛰어납니다. 계절이 바뀌기 전, 숲속 곳간을 차근차근 채웁니다.",Jean,draft,184_Coal_Tit_VO_1.wav,1,Coal tit. Coal tits store sprue seeds and sometimes invertebrates for winter.,75
185,Eurasian Nuthatch,유라시아동고비,유라시아동고비입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,185_Eurasian_Nuthatch_VO_1.wav,1,Eurasian Nuthatch. These birds will often recycle old woodpecker holes as nesting sites.,75
186,Eurasian Nutcracker,유라시아잣까마귀,유라시아잣까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,186_Eurasian_Nutcracker_VO_1.wav,1,Eurasian Nutcracker. Nutcrackers have been observed traveling as far as 32 km to cash seeds.,75
187,Red Backed Shrike,붉은브아크에드때까치,붉은브아크에드때까치입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,187_Red_Backed_Shrike_VO_1.wav,1,Red Backed Shrike. These butcher birds use thorns and barbed wire as food storage.,75
